date,area,fips,area_type,population,per100k,cases,cumulative_cases,casesper100,total_tests,cumulative_total_tests,cmlper100,positive_tests,cumulative_positive_tests,cptper100,reported_cases,rptper100,cumulative_reported_cases,cumper100,reported_deaths,cumulative_reported_deaths
4/15/2020,Butte,06007,County,217769,2,0,17,9,44,951,476,0,20,10,1,1,14,7,0,0
4/15/2020,Calaveras,06009,County,44289,0,0,11,11,10,347,347,0,13,13,4,4,9,9,0,0
4/15/2020,Colusa,06011,County,22593,0,0,3,3,1,61,61,0,3,3,0,0,3,3,0,0
4/15/2020,Contra Costa,06013,County,1160099,12,12,802,67,337,9856,821,28,735,61,28,2,645,54,2,14
4/15/2020,Del Norte,06015,County,27558,0,0,2,2,10,256,256,0,4,4,0,0,2,2,0,0
4/15/2020,El Dorado,06017,County,193098,2,0,46,23,48,1579,790,0,40,20,3,2,33,17,0,0
4/15/2020,Fresno,06019,County,1032227,10,22,502,50,174,3688,369,22,287,29,20,2,264,26,1,7
4/15/2020,Glenn,06021,County,29348,0,0,4,4,2,71,71,0,3,3,0,0,3,3,0,0
4/15/2020,Humboldt,06023,County,134098,1,0,56,56,37,1383,1383,0,54,54,3,3,47,47,0,0
4/15/2020,Imperial,06025,County,191649,2,20,269,135,82,1157,579,16,164,82,29,15,115,58,0,2
4/15/2020,Inyo,06027,County,18453,0,0,17,17,7,201,201,0,18,18,0,0,12,12,0,0
4/15/2020,Kern,06029,County,927251,9,23,749,83,267,5624,625,17,349,39,47,5,500,56,0,3
4/15/2020,Kings,06031,County,156444,2,1,43,22,40,1085,543,2,30,15,0,0,12,6,0,1
4/15/2020,Lake,06033,County,64871,1,0,6,6,27,407,407,3,9,9,1,1,4,4,0,0
4/15/2020,Lassen,06035,County,30065,0,0,0,0,4,140,140,0,0,0,0,0,0,0,0,0
4/15/2020,Los Angeles,06037,County,10257557,103,894,16899,164,9564,133553,1297,1136,18240,177,468,5,10416,101,37,394
4/15/2020,Madera,06039,County,160089,2,1,61,31,36,765,383,2,43,22,1,1,30,15,0,2
4/15/2020,Marin,06041,County,260800,3,4,198,66,77,2800,933,3,207,69,15,5,162,54,1,10
4/15/2020,Mariposa,06043,County,17795,0,0,0,0,4,92,92,0,0,0,0,0,0,0,0,0
4/15/2020,Mendocino,06045,County,88439,1,0,4,4,25,734,734,0,6,6,0,0,4,4,0,0
4/15/2020,Merced,06047,County,287420,3,6,119,40,54,1663,554,5,133,44,13,4,74,25,0,3
4/15/2020,Modoc,06049,County,9475,0,0,0,0,6,83,83,0,0,0,0,0,0,0,0,0
4/15/2020,Mono,06051,County,13961,0,0,29,29,2,244,244,0,39,39,0,0,22,22,0,1
4/15/2020,Monterey,06053,County,448732,4,5,174,44,84,2150,538,12,146,37,8,2,106,27,0,3
4/15/2020,Napa,06055,County,139652,1,0,56,56,53,821,821,2,43,43,1,1,34,34,0,2
4/15/2020,Nevada,06057,County,98710,1,0,37,37,18,897,897,0,15,15,0,0,34,34,0,1
4/15/2020,Orange,06059,County,3228519,32,99,2200,69,1150,23075,721,126,2126,66,15,0,1377,43,0,24
4/15/2020,Placer,06061,County,400434,4,1,147,37,134,3577,894,3,148,37,6,2,123,31,1,6
4/15/2020,Plumas,06063,County,18997,0,0,4,4,7,332,332,0,4,4,1,1,4,4,0,0
4/15/2020,Riverside,06065,County,2468145,25,135,3086,123,1761,30859,1234,171,2954,118,256,10,1723,69,2,42
4/15/2020,Sacramento,06067,County,1567975,16,9,980,61,555,14188,887,28,987,62,102,6,839,52,3,32
4/15/2020,San Benito,06069,County,64022,1,3,45,45,24,698,698,5,59,59,0,0,34,34,0,2
4/15/2020,San Bernardino,06071,County,2217398,22,56,1645,75,720,16414,746,85,1735,79,130,6,1063,48,8,45
4/15/2020,San Diego,06073,County,3370418,34,95,2714,80,765,25733,757,58,2470,73,82,2,2014,59,7,60
4/15/2020,San Francisco,06075,County,892280,9,54,1307,145,405,7689,854,29,1241,138,38,4,1006,112,2,16
4/15/2020,San Joaquin,06077,County,782545,8,10,460,58,269,5583,698,23,475,59,49,6,329,41,0,17
4/15/2020,San Luis Obispo,06079,County,278862,3,2,152,51,120,2786,929,1,175,58,3,1,112,37,0,1
4/15/2020,San Mateo,06081,County,778001,8,35,1047,131,321,9618,1202,34,1319,165,26,3,707,88,0,28
